id_feature_value;id_lang;value;
"89";"1";"100 Cápsulas";
"90";"1";"Frasco";
"91";"1";"100 Cápsulas";
"92";"1";"Frasco";
"93";"1";"100 Cápsulas";
"94";"1";"Frasco";
"95";"1";"60 Cápsulas";
"96";"1";"Frasco";
"97";"1";"360 ml";
"98";"1";"Frasco";
"99";"1";"50 Cápsulas";
"100";"1";"Frasco";
"101";"1";"120 ml";
"102";"1";"Frasco";
"103";"1";"120 ml";
"104";"1";"Frasco";
"105";"1";"240 ml";
"106";"1";"Frasco";
"107";"1";"240 ml";
"108";"1";"Caja";
"109";"1";"60 Cápsulas";
"110";"1";"Frasco";
"111";"1";"260 ml";
"112";"1";"Frasco";
"113";"1";"130 g";
"114";"1";"Caja";
"115";"1";"30 Tabletas";
"116";"1";"Frasco";
"117";"1";"50 Cápsulas";
"118";"1";"Caja";
"119";"1";"60 Tabletas";
"120";"1";"Frasco";
"121";"1";"15 Grageas";
"122";"1";"Frasco";
"123";"1";"60 ml";
"124";"1";"Caja";
"125";"1";"30 Tabletas";
"126";"1";"Frasco";
"127";"1";"120 ml";
"128";"1";"Caja";
"129";"1";"30 Tabletas";
"130";"1";"Frasco";
"131";"1";"120 ml";
"132";"1";"Frasco";
"133";"1";"120 ml";
"134";"1";"Frasco";
"135";"1";"30 Cápsulas";
"136";"1";"Frasco";
"137";"1";"50 Cápsulas";
"138";"1";"Frasco";
"139";"1";"280 g";
"140";"1";"Caja";
"141";"1";"60 Cápsulas";
"142";"1";"Frasco";
"143";"1";"50 Cápsulas";
"144";"1";"Frasco";
"145";"1";"50 Cápsulas";
"146";"1";"Frasco";
"147";"1";"120 ml";
"148";"1";"Frasco";
"149";"1";"75 Cápsulas";
"150";"1";"Caja";
"151";"1";"30 Tabletas";
"152";"1";"Caja";
"153";"1";"15 Grageas";
"154";"1";"Caja";
"155";"1";"30 Tabletas";
"156";"1";"Caja";
"157";"1";"30 Tabletas";
"158";"1";"Caja";
"159";"1";"30 Tabletas";
"160";"1";"Frasco";
"161";"1";"120 c.c.";
"162";"1";"Tubo";
"163";"1";"60 g";
"164";"1";"Caja";
"165";"1";"30 Cápsulas";
"166";"1";"Caja";
"167";"1";"30 Cápsulas";
"168";"1";"Caja";
"169";"1";"20 Cápsulas";
"170";"1";"Caja";
"171";"1";"120 mg";
"172";"1";"Caja";
"173";"1";"30 ENVASES";
"174";"1";"Caja";
"175";"1";"10 Tabletas";
"176";"1";"Caja";
"177";"1";"10 Tabletas";
"178";"1";"Caja";
"179";"1";"25 Sobres";
"180";"1";"Caja";
"181";"1";"50 Tabletas";
"182";"1";"Caja";
"183";"1";"36 Cápsulas";
"184";"1";"Caja";
"185";"1";"10 Tabletas";
"186";"1";"Frasco";
"187";"1";"18 ml";
"188";"1";"Caja";
"189";"1";"30 Tabletas";
"190";"1";"Caja";
"191";"1";"21 Cápsulas";
"192";"1";"Caja";
"193";"1";"60 Cápsulas";
"194";"1";"Caja";
"195";"1";"60 Tabletas";
"196";"1";"Caja";
"197";"1";"28 Tabletas";
"198";"1";"Caja";
"199";"1";"2 Tabletas";
"200";"1";"Caja";
"201";"1";"30 Tabletas";
"202";"1";"Tubo";
"203";"1";"15 g";
"204";"1";"Caja";
"205";"1";"1 Ampolla";
"206";"1";"Caja";
"207";"1";"4 Comprimidos";
"208";"1";"Tubo";
"209";"1";"15 g";
"210";"1";"Frasco";
"211";"1";"100 Dosis";
"212";"1";"Caja";
"213";"1";"30 Tabletas";
"214";"1";"Caja";
"215";"1";"30 Cápsulas";
"216";"1";"Frasco";
"217";"1";"5 ml";
"218";"1";"Caja";
"219";"1";"10 Tabletas";
"220";"1";"Caja";
"221";"1";"25 Sobres";
"222";"1";"Caja";
"223";"1";"30 g";
"224";"1";"Caja";
"225";"1";"50 Tabletas";
"226";"1";"Caja";
"227";"1";"28 Tabletas";
"228";"1";"Tubo";
"229";"1";"60 g";
"230";"1";"Frasco";
"231";"1";"350 ml";
"232";"1";"Caja";
"233";"1";"36 Cápsulas";
"234";"1";"Caja";
"235";"1";"96 Tabletas";
"236";"1";"Frasco";
"237";"1";"120 ml";
"238";"1";"Caja";
"239";"1";"35 Tabletas";
"240";"1";"Frasco";
"241";"1";"120 ml";
"242";"1";"Caja";
"243";"1";"10 Tabletas";
"244";"1";"Frasco";
"245";"1";"300 g";
"246";"1";"Frasco";
"247";"1";"360 ml";
"248";"1";"Frasco";
"249";"1";"120 ml";
"250";"1";"Frasco";
"251";"1";"120 ml";
"252";"1";"Tubo";
"253";"1";"80 g";
"254";"1";"Caja";
"255";"1";"1 Tableta";
"256";"1";"Caja";
"257";"1";"50 Cápsulas";
"258";"1";"Frasco";
"259";"1";"30 ml";
"260";"1";"Frasco";
"261";"1";"360 ml";
"262";"1";"Frasco";
"263";"1";"100 ml";
"264";"1";"Frasco";
"265";"1";"120 ml";
"266";"1";"Caja";
"267";"1";"10 Sobres";
"268";"1";"Frasco";
"269";"1";"30 Cápsulas";
"270";"1";"Caja";
"271";"1";"14 Tabletas";
"272";"1";"Caja";
"273";"1";"4 Tabletas";
"274";"1";"Caja";
"275";"1";"30 Tabletas";
"276";"1";"Caja";
"277";"1";"15 Tabletas";
"278";"1";"Caja";
"279";"1";"1 Tableta";
"280";"1";"Caja";
"281";"1";"20 Sobres";
"282";"1";"Caja";
"283";"1";"15 Comprimidos";
"284";"1";"Caja";
"285";"1";"8 Tabletas";
"286";"1";"Caja";
"287";"1";"10 Tabletas";
"288";"1";"Caja";
"289";"1";"30 Tabletas";
"290";"1";"Frasco";
"291";"1";"15 ml";
"292";"1";"Caja";
"293";"1";"30 Comprimidos";
"294";"1";"Frasco";
"295";"1";"170 ml";
"296";"1";"Caja";
"297";"1";"10 Ampollas";
"298";"1";"Caja";
"299";"1";"10 Tabletas";
"300";"1";"Frasco";
"301";"1";"100 ml";
"302";"1";"Caja";
"303";"1";"14 Cápsulas";
"304";"1";"Caja";
"305";"1";"1 Jeringa prellenada";
"306";"1";"Caja";
"307";"1";"14 Tabletas";
"308";"1";"Caja";
"309";"1";"7 Tabletas";
"310";"1";"Caja";
"311";"1";"15 Tabletas";
"312";"1";"Caja";
"313";"1";"12 Sobres";
"314";"1";"Frasco";
"315";"1";"120 ml";
"316";"1";"Frasco";
"317";"1";"5 ml";
"318";"1";"Frasco";
"319";"1";"10 ml";
"320";"1";"Caja";
"321";"1";"100 Tabletas";
"322";"1";"Frasco";
"323";"1";"100 ml";
"324";"1";"Frasco";
"325";"1";"100 ml";
"326";"1";"Frasco";
"327";"1";"120 ml";
"328";"1";"Frasco";
"329";"1";"60 ml";
"330";"1";"Caja";
"331";"1";"1 Jeringa prellenada";
"332";"1";"Frasco";
"333";"1";"15 ml";
"334";"1";"Caja";
"335";"1";"4 Sobres";
"336";"1";"Caja";
"337";"1";"1 Ampolla";
"338";"1";"Caja";
"339";"1";"28 Comprimidos";
"340";"1";"Caja";
"341";"1";"14 Comprimidos";
"342";"1";"Frasco";
"343";"1";"70 ml";
"344";"1";"Caja";
"345";"1";"24 Tabletas";
"346";"1";"Tubo";
"347";"1";"26 g";
"348";"1";"Tubo";
"349";"1";"30 g";
"350";"1";"Caja";
"351";"1";"12 Tabletas";
"352";"1";"Caja";
"353";"1";"10 Tabletas";
"354";"1";"Caja";
"355";"1";"30 Sobres";
"356";"1";"Caja";
"357";"1";"20 Tabletas";
"358";"1";"Caja";
"359";"1";"30 Tabletas";
"360";"1";"Caja";
"361";"1";"1 Sobre";
"362";"1";"Frasco";
"363";"1";"120 ml";
"364";"1";"Caja";
"365";"1";"56 Tabletas";
"366";"1";"Caja";
"367";"1";"100 Tabletas";
"368";"1";"Caja";
"369";"1";"10 Cápsulas";
"370";"1";"Caja";
"371";"1";"10 Tabletas";
"372";"1";"Caja";
"373";"1";"30 Tabletas";
"374";"1";"Caja";
"375";"1";"28 Sobres";
"376";"1";"Caja";
"377";"1";"10 Tabletas";
"378";"1";"Caja";
"379";"1";"1 Ampolla";
"380";"1";"Frasco";
"381";"1";"20 Tabletas";
"382";"1";"Frasco";
"383";"1";"5 ml";
"384";"1";"Caja";
"385";"1";"30 Tabletas";
"386";"1";"Caja";
"387";"1";"14 Tabletas";
"388";"1";"Caja";
"389";"1";"20 Tabletas";
"390";"1";"Caja";
"391";"1";"10 Tabletas";
"392";"1";"Caja";
"393";"1";"30 Tabletas";
"394";"1";"Caja";
"395";"1";"16 Comprimidos";
"396";"1";"Caja";
"397";"1";"28 Comprimidos";
"398";"1";"Caja";
"399";"1";"5 ampollas";
"400";"1";"Caja";
"401";"1";"10 Cápsulas";
"402";"1";"Caja";
"403";"1";"10 Cápsulas";
"404";"1";"Frasco";
"405";"1";"30 ml";
"406";"1";"Tubo";
"407";"1";"15 g";
"408";"1";"Frasco";
"409";"1";"30 ml";
"410";"1";"Caja";
"411";"1";"28 Tabletas";
"412";"1";"Caja";
"413";"1";"10 Tabletas";
"414";"1";"Caja";
"415";"1";"30 Tabletas";
"416";"1";"Frasco";
"417";"1";"80 ml";
"418";"1";"Frasco";
"419";"1";"360 ml";
"420";"1";"Frasco";
"421";"1";"250 g";
"422";"1";"Tubo";
"423";"1";"80 g";
"424";"1";"Caja";
"425";"1";"30 Tabletas";
"426";"1";"Caja";
"427";"1";"20 Tabletas";
"428";"1";"Caja";
"429";"1";"10 Tabletas";
"430";"1";"Caja";
"431";"1";"15 Tabletas";
"432";"1";"Caja";
"433";"1";"10 Cápsulas";
"434";"1";"Frasco";
"435";"1";"100 g";
"436";"1";"Frasco";
"437";"1";"15 ml";
"438";"1";"Caja";
"439";"1";"30 Tabletas";
"440";"1";"Caja";
"441";"1";"30 Tabletas";
"442";"1";"Caja";
"443";"1";"10 Tabletas";
"444";"1";"Frasco";
"445";"1";"2X10 GR";
"446";"1";"Caja";
"447";"1";"1 Ampolla";
"448";"1";"Caja";
"449";"1";"24 Tabletas";
"450";"1";"Tubo";
"451";"1";"43 g";
"452";"1";"Caja";
"453";"1";"10 Tabletas";
"454";"1";"Frasco";
"456";"1";"Caja";
"457";"1";"30 Tabletas";
"458";"1";"Frasco";
"459";"1";"120 Dosis";
"460";"1";"Caja";
"461";"1";"30 Sobres";
"462";"1";"Frasco";
"463";"1";"15 ml";
"464";"1";"Caja";
"465";"1";"6 Tabletas";
"466";"1";"Caja";
"467";"1";"15 Óvulos Vaginales";
"468";"1";"Caja";
"469";"1";"14 Tabletas";
"470";"1";"Caja";
"471";"1";"25 Ampollas";
"472";"1";"Caja";
"473";"1";"30 Tabletas";
"474";"1";"Caja";
"475";"1";"30 Tabletas";
"476";"1";"Caja";
"477";"1";"10 Tabletas";
"478";"1";"Caja";
"479";"1";"28 Tabletas";
"480";"1";"Caja";
"481";"1";"6 Tabletas";
"482";"1";"Caja";
"483";"1";"30 Tabletas";
"484";"1";"Caja";
"485";"1";"14 Comprimidos";
"486";"1";"Caja";
"487";"1";"30 Tabletas";
"488";"1";"Caja";
"489";"1";"30 Tabletas";
"490";"1";"Caja";
"491";"1";"20 comprimidos";
"492";"1";"Caja";
"493";"1";"20 Cápsulas";
"494";"1";"Caja";
"495";"1";"14 Tabletas";
"496";"1";"Frasco";
"497";"1";"10 ml";
"498";"1";"Frasco";
"499";"1";"45 ml";
"500";"1";"Caja";
"501";"1";"15 Sobres";
"502";"1";"Tubo";
"503";"1";"30 g";
"504";"1";"Caja";
"505";"1";"28 Comprimidos";
"506";"1";"Caja";
"507";"1";"30 Sobres";
"508";"1";"Frasco";
"509";"1";"300 g";
"510";"1";"Frasco";
"511";"1";"100 ml";
"512";"1";"Caja";
"513";"1";"30 Cápsulas";
"514";"1";"Caja";
"515";"1";"90 Cápsulas";
"516";"1";"Frasco";
"517";"1";"250 mg/5ml";
"518";"1";"Caja";
"519";"1";"150 Cápsulas";
"520";"1";"Caja";
"521";"1";"48 Tabletas";
"522";"1";"Caja";
"523";"1";"4OO Tabletas";
"524";"1";"Caja";
"525";"1";"30 Cápsulas";
"526";"1";"Frasco";
"527";"1";"150 ml";
"528";"1";"Caja";
"529";"1";"30 Cápsulas";
"530";"1";"Caja";
"531";"1";"30 Sobres";
"532";"1";"Frasco";
"533";"1";"60 ml";
"534";"1";"Frasco";
"535";"1";"5 ml";
"536";"1";"Frasco";
"537";"1";"80 ml";
"538";"1";"Caja";
"539";"1";"28 Comprimidos";
"540";"1";"Caja";
"541";"1";"7 Tubos";
"542";"1";"Frasco";
"543";"1";"120 Dosis";
"544";"1";"Frasco";
"545";"1";"120 ml";
"546";"1";"Caja";
"547";"1";"40 Cápsulas";
"548";"1";"Caja";
"549";"1";"4 Tabletas";
"550";"1";"Caja";
"551";"1";"2 Jeringas Prellenadas";
"552";"1";"Caja";
"553";"1";"10 Tabletas";
"554";"1";"Caja";
"555";"1";"5O Tabletas";
"556";"1";"Caja";
"557";"1";"10O Tabletas";
"558";"1";"Caja";
"559";"1";"30 Tabletas";
"560";"1";"Caja";
"561";"1";"30 Cápsulas";
"562";"1";"Tubo";
"563";"1";"30 g";
"564";"1";"Frasco";
"565";"1";"120 Dosis";
"566";"1";"Frasco";
"567";"1";"100 mg/ml";
"568";"1";"Frasco";
"569";"1";"50 ml";
"570";"1";"Frasco";
"571";"1";"15 ml";
"572";"1";"Caja";
"573";"1";"14 Cápsulas";
"574";"1";"Caja";
"575";"1";"30 Tabletas";
"576";"1";"Caja";
"577";"1";"30 Tabletas";
"578";"1";"Caja";
"579";"1";"100 Tabletas";
"580";"1";"Caja";
"581";"1";"10 Tabletas";
"582";"1";"Frasco";
"583";"1";"100 ml";
"584";"1";"Frasco";
"585";"1";"100 ml";
"586";"1";"Frasco";
"587";"1";"30 ml";
"588";"1";"Frasco";
"589";"1";"3 ml";
"590";"1";"Frasco";
"591";"1";"15 ml";
"592";"1";"Caja";
"593";"1";"60 Cápsulas";
"594";"1";"Caja";
"595";"1";"3 Jeringas Prellenadas";
"596";"1";"Caja";
"597";"1";"56 Tabletas";
"598";"1";"Caja";
"599";"1";"28 Cápsulas";
"600";"1";"Caja";
"601";"1";"80 Tabletas";
"602";"1";"Caja";
"603";"1";"10 Tabletas";
"604";"1";"Caja";
"605";"1";"40 Tabletas";
"606";"1";"Caja";
"607";"1";"14 Tabletas";
"608";"1";"Frasco";
"609";"1";"120 ml";
"610";"1";"Caja";
"611";"1";"30 Tabletas";
"612";"1";"Caja";
"613";"1";"10 Tabletas";
"614";"1";"Caja";
"615";"1";"8 Cápsulas";
"616";"1";"Caja";
"617";"1";"30 g";
"618";"1";"Caja";
"619";"1";"10 Tabletas";
"620";"1";"Frasco";
"621";"1";"180  ml";
"622";"1";"Caja";
"623";"1";"6 Ampollas";
"624";"1";"Caja";
"625";"1";"20 g";
"626";"1";"Caja";
"627";"1";"40 g";
"628";"1";"Caja";
"629";"1";"14 Cápsulas";
"630";"1";"Caja";
"631";"1";"300 Dosis";
"632";"1";"Caja";
"633";"1";"20 Tabletas";
"634";"1";"Caja";
"635";"1";"30 Tabletas";
"636";"1";"Caja";
"637";"1";"30 Sobres";
"638";"1";"Caja";
"639";"1";"14 Tabletas";
"640";"1";"Caja";
"641";"1";"18 Tabletas";
"642";"1";"Sobre";
"643";"1";"24 Gomas";
"644";"1";"Caja";
"645";"1";"100 Tabletas";
"646";"1";"Frasco";
"647";"1";"120 ml";
"648";"1";"Caja";
"649";"1";"30 Cápsulas";
"650";"1";"Caja";
"651";"1";"20 Tabletas";
"652";"1";"Caja";
"653";"1";"16 Cápsulas";
"654";"1";"Caja";
"655";"1";"24 Cápsulas";
"656";"1";"Caja";
"657";"1";"15 Sobres";
"658";"1";"Caja";
"659";"1";"10 Tabletas";
"660";"1";"Caja";
"661";"1";"60 Tabletas";
"662";"1";"Caja";
"663";"1";"24 Tabletas";
"664";"1";"Caja";
"665";"1";"30 Tabletas";
"666";"1";"Frasco";
"667";"1";"60 ml";
"668";"1";"Frasco";
"669";"1";"30 ml";
"670";"1";"Tubo";
"671";"1";"30 g";
"672";"1";"Frasco";
"673";"1";"5 ml";
"674";"1";"Caja";
"675";"1";"14 Tabletas";
"676";"1";"Caja";
"677";"1";"10 Tabletas";
"678";"1";"Caja";
"679";"1";"14 Tabletas";
"680";"1";"Caja";
"681";"1";"20 Tabletas";
"682";"1";"Caja";
"683";"1";"30 Tabletas";
"684";"1";"Caja";
"685";"1";"10 Tabletas";
"686";"1";"Caja";
"687";"1";"10 Tabletas";
"688";"1";"Caja";
"689";"1";"10 Grageas";
"690";"1";"Caja";
"691";"1";"50 Tabletas";
"692";"1";"Frasco";
"693";"1";"70 ml";
"694";"1";"Caja";
"695";"1";"100 Tabletas";
"696";"1";"Caja";
"697";"1";"7 Aplicadores";
"698";"1";"Caja";
"699";"1";"30 Sobres";
"700";"1";"Caja";
"701";"1";"30 Cápsulas";
"702";"1";"Caja";
"703";"1";"20 ml";
"704";"1";"Caja";
"705";"1";"14 Tabletas";
"706";"1";"Caja";
"707";"1";"50 Tabletas";
"708";"1";"Frasco";
"709";"1";"9 g";
"710";"1";"Caja";
"711";"1";"90 Tabletas";
"712";"1";"Caja";
"713";"1";"30 Tabletas";
"714";"1";"Caja";
"715";"1";"14 Grageas";
"716";"1";"Caja";
"717";"1";"30 Tabletas";
"718";"1";"Frasco";
"719";"1";"200 Dosis";
"720";"1";"Frasco";
"721";"1";"120 ml";
"722";"1";"Caja";
"723";"1";"30 Tabletas";
"724";"1";"Caja";
"725";"1";"30 Tabletas";
"726";"1";"Caja";
"727";"1";"30 Cápsulas";
"728";"1";"Caja";
"729";"1";"30 Tabletas";
"730";"1";"Caja";
"731";"1";"10 Cápsulas";
"732";"1";"Tubo";
"733";"1";"30 g";
"734";"1";"Tubo";
"735";"1";"5 g";
"736";"1";"Caja";
"737";"1";"14 Tabletas";
"738";"1";"Caja";
"739";"1";"5 Sobres";
"740";"1";"Caja";
"741";"1";"18 Tabletas";
"742";"1";"Caja";
"743";"1";"10 Tabletas";
"744";"1";"Caja";
"745";"1";"60 ml";
"746";"1";"Caja";
"747";"1";"40 g";
"748";"1";"Caja";
"749";"1";"2 Cápsulas";
"750";"1";"Caja";
"751";"1";"7 Óvulos Vaginales";
"752";"1";"Frasco";
"753";"1";"60 ml";
"754";"1";"Frasco";
"755";"1";"15 ml";
"756";"1";"Caja";
"757";"1";"20 Tabletas";
"758";"1";"Caja";
"759";"1";"30 Tabletas";
"760";"1";"Frasco";
"761";"1";"60 ml";
"762";"1";"Caja";
"763";"1";"2 Tabletas";
"764";"1";"Frasco";
"765";"1";"5 ml";
"766";"1";"Caja";
"767";"1";"28 Grageas";
"768";"1";"Caja";
"769";"1";"30 Tabletas";
"770";"1";"Caja";
"771";"1";"100 Tabletas";
"772";"1";"Caja";
"773";"1";"14 Cápsulas";
"774";"1";"Frasco";
"775";"1";"200 Dosis";
"776";"1";"Caja";
"777";"1";"30 Cápsulas";
"778";"1";"Caja";
"779";"1";"4 Tabletas";
"780";"1";"Caja";
"781";"1";"10 Tabletas";
"782";"1";"Caja";
"783";"1";"100 Cápsulas";
"784";"1";"Caja";
"785";"1";"50 Sobres x 4 Grageas";
"786";"1";"Caja";
"787";"1";"100 Tabletas";
"788";"1";"Caja";
"789";"1";"28 Tabletas";
"790";"1";"Caja";
"791";"1";"5 Sobres";
"792";"1";"Caja";
"793";"1";"1 Jeringa Prellenada";
"794";"1";"Caja";
"795";"1";"30 Tabletas";
"796";"1";"Caja";
"797";"1";"10 Tabletas";
"798";"1";"Caja";
"799";"1";"28 Tabletas";
"800";"1";"Frasco";
"801";"1";"60 ml";
"802";"1";"Frasco";
"803";"1";"60 ml";
"804";"1";"Frasco";
"805";"1";"30 ml";
"806";"1";"Frasco";
"807";"1";"10 ml";
"808";"1";"Caja";
"809";"1";"10 Tabletas";
"810";"1";"Caja";
"811";"1";"30 Cápsulas";
"812";"1";"Caja";
"813";"1";"2 Tabletas";
"814";"1";"Caja";
"815";"1";"30 Tabletas";
"816";"1";"Caja";
"817";"1";"30 g";
"818";"1";"Caja";
"819";"1";"15 g";
"820";"1";"Caja";
"821";"1";"30 g";
"822";"1";"Caja";
"823";"1";"20 Tabletas";
"824";"1";"Caja";
"825";"1";"40 g";
"826";"1";"Caja";
"827";"1";"10 Tabletas";
"828";"1";"Caja";
"829";"1";"10 Tabletas";
"830";"1";"Caja";
"831";"1";"20 Tabletas";
"832";"1";"Caja";
"833";"1";"3O g";
"834";"1";"Frasco";
"835";"1";"30 ml";
"836";"1";"Caja";
"837";"1";"20 Tabletas";
"838";"1";"Caja";
"839";"1";"14 Tabletas";
"840";"1";"Caja";
"841";"1";"30 Tabletas";
"842";"1";"Caja";
"843";"1";"28 Tabletas";
"844";"1";"Frasco";
"845";"1";"2.5 ml";
"846";"1";"Caja";
"847";"1";"60 g";
"848";"1";"Caja";
"849";"1";"10 Tabletas";
"850";"1";"Caja";
"851";"1";"4 Cápsulas";
"852";"1";"Caja";
"853";"1";"1 Tableta";
"854";"1";"Frasco";
"855";"1";"60 ml";
"856";"1";"Frasco";
"857";"1";"30 ml";
"858";"1";"Frasco";
"859";"1";"5 ml";
"860";"1";"Frasco";
"861";"1";"5  ml";
"862";"1";"Frasco";
"863";"1";"15 ml";
"864";"1";"Caja";
"865";"1";"10 Tabletas";
"866";"1";"Caja";
"867";"1";"10 Tabletas";
"868";"1";"Caja";
"869";"1";"6 Tabletas";
"870";"1";"Caja";
"871";"1";"1 Ampolla";
"872";"1";"Caja";
"873";"1";"2 Tabletas";
"874";"1";"Caja";
"875";"1";"25 Sobres";
"876";"1";"Caja";
"877";"1";"100 Tabletas";
"878";"1";"Caja";
"879";"1";"30 Sobres";
"880";"1";"Frasco";
"881";"1";"250 ml";
"882";"1";"Frasco";
"883";"1";"60 ml";
"884";"1";"Frasco";
"885";"1";"60 ml";
"886";"1";"Caja";
"887";"1";"60 Cápsulas";
"888";"1";"Caja";
"889";"1";"30 Sobres";
"890";"1";"Caja";
"891";"1";"60 Tabletas";
"892";"1";"Caja";
"893";"1";"10 Tabletas";
"894";"1";"Caja";
"895";"1";"90 Cápsulas";
"896";"1";"Frasco";
"897";"1";"10 ml";
"898";"1";"Caja";
"899";"1";"28 Tabletas";
"900";"1";"Caja";
"901";"1";"28 Tabletas";
"902";"1";"Caja";
"903";"1";"100 Tabletas";
"904";"1";"Caja";
"905";"1";"30 Tabletas";
"906";"1";"Caja";
"907";"1";"30 Tabletas";
"908";"1";"Frasco";
"909";"1";"120 ml";
"910";"1";"Caja";
"911";"1";"30 Tabletas";
"912";"1";"Frasco";
"913";"1";"120 ml";
"914";"1";"Caja";
"915";"1";"30 Tabletas";
"916";"1";"Caja";
"917";"1";"30 Tabletas";
"918";"1";"Caja";
"919";"1";"30 Tabletas";
"920";"1";"Caja";
"921";"1";"90 Tabletas";
"922";"1";"Frasco";
"923";"1";"60 ml";
"924";"1";"Frasco";
"925";"1";"120 ml";
"926";"1";"Frasco";
"927";"1";"100 g";
"928";"1";"Frasco";
"929";"1";"3 ml";
"930";"1";"Frasco";
"931";"1";"200 Dosis";
"932";"1";"Caja";
"933";"1";"30 Tabletas";
"934";"1";"Frasco";
"935";"1";"30 ml";
"936";"1";"Frasco";
"937";"1";"80 ml";
"938";"1";"Caja";
"939";"1";"14 Tabletas";
"940";"1";"Frasco";
"941";"1";"30 ml";
"942";"1";"Caja";
"943";"1";"30 Comprimidos";
"944";"1";"Frasco";
"945";"1";"60 ml";
"946";"1";"Caja";
"947";"1";"30 Cápsulas";
"948";"1";"Caja";
"949";"1";"30 Cápsulas";
"950";"1";"Caja";
"951";"1";"28 Tabletas";
"952";"1";"Caja";
"953";"1";"15 Cápsulas";
"954";"1";"Caja";
"955";"1";"14 Tabletas";
"956";"1";"Caja";
"957";"1";"14 Comprimidos";
"958";"1";"Caja";
"959";"1";"100 Grageas";
"960";"1";"Caja";
"961";"1";"28 Comprimidos";
"962";"1";"Caja";
"963";"1";"10 Cápsulas";
"964";"1";"Caja";
"965";"1";"20 Tabletas";
"966";"1";"Caja";
"967";"1";"30 Tabletas";
"968";"1";"Caja";
"969";"1";"20 Tabletas";
"970";"1";"Frasco";
"971";"1";"5 ml";
"972";"1";"Frasco";
"973";"1";"5 ml";
"974";"1";"Caja";
"975";"1";"1 Cápsula";
"976";"1";"Caja";
"977";"1";"30 ml";
"978";"1";"Caja";
"979";"1";"10X45 Tabletas";
"980";"1";"Caja";
"981";"1";"100 Tabletas";
"982";"1";"Caja";
"983";"1";"35 SOBRES";
"984";"1";"Caja";
"985";"1";"30 Cápsulas";
"986";"1";"Caja";
"987";"1";"16 Cápsulas";
"988";"1";"Caja";
"989";"1";"28 Cápsulas";
"990";"1";"Caja";
"991";"1";"50 Tabletas";
"992";"1";"Caja";
"993";"1";"14 Cápsulas";
"994";"1";"Tubo";
"995";"1";"30 g";
"996";"1";"Caja";
"997";"1";"15 Tabletas";
"998";"1";"Caja";
"999";"1";"7 Tabletas";
"1000";"1";"Caja";
"1001";"1";"5 Tabletas";
"1002";"1";"Caja";
"1003";"1";"150 Dosis";
"1004";"1";"Caja";
"1005";"1";"7 Tabletas";
"1006";"1";"Caja";
"1007";"1";"30 Cápsulas";
"1008";"1";"Frasco";
"1009";"1";"150 ml";
"1010";"1";"Caja";
"1011";"1";"16 Cápsulas";
"1012";"1";"Frasco";
"1013";"1";"60 ml";
"1014";"1";"Caja";
"1015";"1";"30 Tabletas";
"1016";"1";"Caja";
"1017";"1";"30 Tabletas";
"1018";"1";"Caja";
"1019";"1";"7 Tabletas";
"1020";"1";"Caja";
"1021";"1";"10 Tabletas";
"1022";"1";"Caja";
"1023";"1";"30 Tabletas";
"1024";"1";"Frasco";
"1025";"1";"14 Cápsulas";
