id_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"442";"1";"1";"PESTAÑINAS Y DELINEADORES";"PESTAÑINAS Y DELINEADORES";"pestaninas-y-delineadores";"PESTAÑINAS Y DELINEADORES";"";"PESTAÑINAS Y DELINEADORES";
"441";"1";"1";"LABIALES Y BRILLOS";"LABIALES Y BRILLOS";"labiales-y-brillos";"LABIALES Y BRILLOS";"";"LABIALES Y BRILLOS";
"440";"1";"1";"ESMALTES Y REMOVEDORES";"ESMALTES Y REMOVEDORES";"esmaltes-y-removedores";"ESMALTES Y REMOVEDORES";"";"ESMALTES Y REMOVEDORES";
"474";"1";"1";"TALCO AEROSOLES UNISEX";"TALCO, AEROSOLES UNISEX";"talco-aerosoles-unisex";"TALCO, AEROSOLES UNISEX";"";"TALCO, AEROSOLES UNISEX";
"473";"1";"1";"SHAMPOO UNISEX";"SHAMPOO UNISEX";"shampoo-unisex";"SHAMPOO UNISEX";"";"SHAMPOO UNISEX";
"472";"1";"1";"PROTECTORES SOLARES Y BRONCEADORES";"PROTECTORES SOLARES Y BRONCEADORES";"protectores-solares-y-bronceadores";"PROTECTORES SOLARES Y BRONCEADORES";"";"PROTECTORES SOLARES Y BRONCEADORES";
"471";"1";"1";"JABONES UNISEX";"JABONES UNISEX";"jabones-unisex";"JABONES UNISEX";"";"JABONES UNISEX";
"470";"1";"1";"ANTITRANSPIRANTES UNISEX";"ANTITRANSPIRANTES UNISEX";"antitranspirantes-unisex";"ANTITRANSPIRANTES UNISEX";"";"ANTITRANSPIRANTES UNISEX";
"469";"1";"1";"SHAMPOO PARA HOMBRE";"SHAMPOO PARA HOMBRE";"shampoo-para-hombre";"SHAMPOO PARA HOMBRE";"";"SHAMPOO PARA HOMBRE";
"467";"1";"1";"ESPUMAS GEL CREMAS PARA AFEITARSE";"ESPUMAS, GEL Y CREMAS PARA AFEITAR";"espumas-gel-cremas-para-afeitarse";"ESPUMAS, GEL Y CREMAS PARA AFEITAR";"";"ESPUMAS, GEL Y CREMAS PARA AFEITAR";
"466";"1";"1";"ANTITRANSPIRANTES MASCULINOS";"ANTITRANSPIRANTES MASCULINOS";"antitranspirantes-masculinos";"ANTITRANSPIRANTES MASCULINOS";"";"ANTITRANSPIRANTES MASCULINOS";
"465";"1";"1";"TALCOS AEROSOLES FEMENINOS";"TALCOS, AEROSOLES FEMENINOS";"talcos-aerosoles-femeninos";"TALCOS, AEROSOLES FEMENINOS";"";"TALCOS, AEROSOLES FEMENINOS";
"448";"1";"1";"CUIDADO DENTAL";"
Bienvenido a Cuidado dental, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra cepillos de dientes, cremas dentales, enjuagues bucales, prótesis dentales y sedas dentales.";"cuidado-dental";"CUIDADO DENTAL - FARMALISTO";"cepillos de dientes,cremas dentales,enjuagues bucales,prótesis dentales,sedas dentales";"Encuentra gran variedad de marcas y productos para tu cuidado dental en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"447";"1";"1";"CUIDADO Y ASEO PERSONAL";"
Bienvenido a Cuidado y aseo personal, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra lo mejor en las categorías Cuidado dental, pañales para adulto, protección y aseo femenino, protección y aseo masculino, protección y aseo unisex, cepillos dentales, cremas dentales, enjuagues bucales, prótesis dentales, sedas dentales, antitranspirantes femeninos, cremas y lociones corporales para mujer, jabones para mujer, máquinas de afeitar para mujer, pañitos para mujer, protectores, tampones y toallas, shampoo y tratamientos para mujer, talcos y aerosoles femeninos, antitranspirantes masculinos, espumas, gel y cremas para afeitar, máquinas de afeitar, Shampoo para hombre, Antitranspirantes unisex, jabones unisex, protectores solares y bronceadores, shampoo unisex, talco, aerosoles unisex.";"cuidado-y-aseo-personal";"CUIDADO Y ASEO PERSONAL - FARMALISTO";"Cuidado dental,pañales para adulto,protección y aseo femenino,protección y aseo unisex,cepillos dentales,cremas dentales,enjuagues bucales,prótesis dentales,sedas dentales,antitranspirantes femeninos,jabones para mujer,máquinas de afeitar para mujer";"Encuentra gran variedad de productos para el ciudado y aseo personal en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"477";"1";"1";"FARMACIA Y MEDICAMENTOS";" 

Bienvenido a Farmacia y medicamentos, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra Antialérgicos, antibióticos, antídotos, antiinflamatorios, antipalúdicos, antivirales, cardiovasculares e hipertensión, control hepático, dermatológicos, dislipemiantes, dolor, hemostáticos, hipolipemiantes, menopausia, oftálmico, ótico, relajantes musculares, sedantes, sistema circulatorio, sistema digestivo, sistema endocrino, sistema nervioso, sistema óseo, sistema respiratorio, sistema urinario, terapia contra el cáncer, tratamiento para hongos, antimicótico, vitaminas.";"farmacia-y-medicamentos";"FARMACIA Y MEDICAMENTOS - FARMALISTO";"Antialérgicos,antibióticos,antídotos,antiinflamatorios,antipalúdicos,antivirales,cardiovasculares e hipertensión,control hepático,dermatológicos,dislipemiantes,dolor,hemostáticos,hipolipemiantes";"Encuentra gran variedad de medicamentos genéricos y de marca en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"476";"1";"1";"DROGA BLANCA";" 
Bienvenido a Droga Blanca, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra aceites de almendras, ricino, oliva, mineral, ácido bórico, agua de rosas, alcanfor, anís, bicarbonato, cloruro de magnesio, glicerina, mercurio de cromo, sulfato de magnesia, vaselina, yodo.";"droga-blanca";"DROGA BLANCA - FARMALISTO";"aceites de almendras,ricino,oliva,mineral,ácido bórico,agua de rosas,alcanfor,anís,bicarbonato,cloruro de magnesio,glicerina,mercurio de cromo,sulfato de magnesia,vaselina,yodo";"Encuentra gran variedad de químicos y productos de droga blanca en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"464";"1";"1";"SHAMPOO Y TRATAMIENTOS PARA MUJER";"SHAMPOO Y TRATAMIENTOS PARA MUJER";"shampoo-y-tratamientos-para-mujer";"SHAMPOO Y TRATAMIENTOS PARA MUJER";"";"SHAMPOO Y TRATAMIENTOS PARA MUJER";
"463";"1";"1";"PROTECTORES TAMPONES Y TOALLAS";"PROTECTORES, TAPONES Y TOALLAS";"protectores-tampones-y-toallas";"PROTECTORES, TAPONES Y TOALLAS";"";"PROTECTORES, TAPONES Y TOALLAS";
"462";"1";"1";"PAÑITOS PARA MUJER";"PAÑITOS PARA MUJER";"panitos-para-mujer";"PAÑITOS PARA MUJER";"";"PAÑITOS PARA MUJER";
"461";"1";"1";"MÁQUINAS DE AFEITAR PARA MUJER";"MÁQUINAS DE AFEITAR PARA MUJER";"maquinas-de-afeitar-para-mujer";"MÁQUINAS DE AFEITAR PARA MUJER";"";"MÁQUINAS DE AFEITAR PARA MUJER";
"460";"1";"1";"JABONES PARA MUJER";"JABONES PARA MUJER";"jabones-para-mujer";"JABONES PARA MUJER";"";"JABONES PARA MUJER";
"458";"1";"1";"ANTITRANSPIRANTES FEMENINOS";"ANTITRANSPIRANTES FEMENINOS";"antitranspirantes-femeninos";"ANTITRANSPIRANTES FEMENINOS";"";"ANTITRANSPIRANTES FEMENINOS";
"457";"1";"1";"SEDAS DENTALES";"SEDAS DENTALES";"sedas-dentales";"SEDAS DENTALES";"";"SEDAS DENTALES";
"456";"1";"1";"PRÓTESIS DENTALES";"PRÓTESIS DENTALES";"protesis-dentales";"PRÓTESIS DENTALES";"";"PRÓTESIS DENTALES";
"439";"1";"1";"REDUCTORES";"REDUCTORES";"reductores";"REDUCTORES";"";"REDUCTORES";
"455";"1";"1";"ENJUAGUES BUCALES";"ENJUAGUES BUCALES";"enjuagues-bucales";"ENJUAGUES BUCALES";"";"ENJUAGUES BUCALES";
"438";"1";"1";"PROTECTORES LABIALES";"PROTECTORES LABIALES";"protectores-labiales";"PROTECTORES LABIALES";"";"PROTECTORES LABIALES";
"437";"1";"1";"CREMAS UNISEX";"CREMAS UNISEX";"cremas-unisex";"CREMAS UNISEX";"";"CREMAS UNISEX";
"468";"1";"1";"MÁQUINAS DE AFEITARSE";"MÁQUINAS DE AFEITAR";"maquinas-de-afeitarse";"MÁQUINAS DE AFEITAR PARA MUJER";"";"MÁQUINAS DE AFEITAR";
"454";"1";"1";"CREMAS DENTALES";"CREMAS DENTALES";"cremas-dentales";"CREMAS DENTALES";"";"CREMAS DENTALES";
"459";"1";"1";"CREMAS Y LOCIONES CORPORALES PARA MUJER";"CREMAS Y LOCIONES CORPORALES PARA MUJER";"cremas-y-lociones-corporales-para-mujer";"CREMAS Y LOCIONES CORPORALES PARA MUJER";"";"CREMAS Y LOCIONES CORPORALES PARA MUJER";
"475";"1";"1";"DISPOSITIVOS MÉDICOS";"

Bienvenido a Dispositivos Médicos, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra Gasas, micropore, microporo, cinta quirúrgica, parches, termómetros, vendas de algodón, vendas elásticas, vendas enyesadas.";"dispositivos-medicos";"DISPOSITIVOS MÉDICOS - FARMALISTO";"Gasas,micropore,microporo,cinta quirúrgica,parches,termómetros,vendas de algodón,vendas elásticas,vendas enyesadas";"Encuentra gran variedad de dispositivos y utensilios médicos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"436";"1";"1";"VANIDAD PARA MUJER";"
Bienvenido a vanidad para mujer, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra lo mejor en las categorías pantimedias, perfumes y tintes.";"vanidad-para-mujer";"VANIDAD PARA MUJER - FAMALISTO";"pantimedias,medias veladas,medias,mujer,perfumes,tintes,tintura";"Encuentra gran variedad de marcas, productos y accesorios para mujer en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"435";"1";"1";"MAQUILLAJE";"
Bienvenido a maquillaje, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra lo mejor en las categorías esmaltes y removedores, labiales y brillos, pestañinas y deliniadores, polvos, rubores y sombras.";"maquillaje";"MAQUILLAJE - FARMALISTO";"Esmaltes y removedores,labiales y brillos,pestañinas y deliniadores,polvos,rubores y sombras";"Encuentra gran variedad de marcas, productos y accesorios de belleza en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"433";"1";"1";"BELLEZA";"
Bienvenido a Belleza Farmalisto, encontrarás gran variedad de productos y de marcas al mejor precio.
Encuentra lo mejor en las categorías Unisex, maquillaje, vanidad, mujer, cremas, protectores labiales, reductores, esmaltes y removedores, labiales y brillos, pestañinas, delineadores, polvos, rubores, sombras, pantimedias, perfumes y tintes.";"belleza";"BELLEZA - FARMALISTO";"Unisex,maquillaje,vanidad,mujer,cremas,protectores labiales,reductores,esmaltes y removedores,labiales y brillos,pestañinas,delineadores,polvos,rubores,sombras,pantimedias,perfumes,tintes";"Encuentra gran variedad de marcas y  productos de belleza en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"115";"1";"1";"Eliminada-0-12 MESES";"";"Eliminado-0-12-meses-";"";"";"";
"117";"1";"1";"Eliminada-HIGIENE BEBÉ";"";"Eliminado-higiene-bebe";"";"";"";
"118";"1";"1";"Eliminada-ACCESORIOS";"";"Eliminado-accesorios";"";"";"";
"123";"1";"1";"Eliminada-CEREALES";"";"Eliminado-cereales";"";"";"";
"135";"1";"1";"Eliminada-ACEITES";"";"Eliminado-aceites";"";"";"";
"136";"1";"1";"Eliminada-CREMAS CORPORALES";"";"Eliminado-cremas-corporales";"";"";"";
"137";"1";"1";"Eliminada-PROTECTORES SOLARES";"";"Eliminado-protectores-solares";"";"";"";
"138";"1";"1";"Eliminada-CREMAS ANTIPAÑALITIS";"";"Eliminado-cremas-antipanalitis";"";"";"";
"139";"1";"1";"Eliminada-HUMECTANTES";"";"Eliminado-humectantes";"";"";"";
"140";"1";"1";"Eliminada-JABONES";"";"Eliminado-jabones";"";"";"";
"141";"1";"1";"Eliminada-SHAMPOO";"";"Eliminado-shampoo";"";"";"";
"142";"1";"1";"Eliminada-CABELLO CLARO";"";"Eliminado-cabello-claro";"";"";"";
"143";"1";"1";"Eliminada-CABELLO RIZADO";"";"Eliminado-cabello-rizado";"";"";"";
"509";"1";"1";"DOLOR DE CABEZA Y MIGRAÑA";"DOLOR DE CABEZA Y MIGRAÑA";"dolor-de-cabeza-y-migrana";"DOLOR DE CABEZA Y MIGRAÑA";"";"DOLOR DE CABEZA Y MIGRAÑA";
"510";"1";"1";"DOLOR GENERAL";"DOLOR GENERAL";"dolor-general";"DOLOR GENERAL";"";"DOLOR GENERAL";
"511";"1";"1";"ESPASMOS Y DOLORES MUSCULARES";"ESPASMOS Y DOLORES MUSCULARES";"espasmos-y-dolores-musculares";"ESPASMOS Y DOLORES MUSCULARES";"";"ESPASMOS Y DOLORES MUSCULARES";
"512";"1";"1";"ESPECIALES";"ESPECIALES";"especiales";"ESPECIALES";"";"ESPECIALES";
"153";"1";"1";"Eliminada-ESTUCHES";"";"Eliminado-estuches-";"";"";"";
"154";"1";"1";"Eliminada-BIBERONES";"";"Eliminado-biberones";"";"";"";
"155";"1";"1";"Eliminada-EXTRACTOR DE LECHE";"";"Eliminado-extractor-de-leche-";"";"";"";
"156";"1";"1";"Eliminada-PEZONERAS";"";"Eliminado-pezoneras";"";"";"";
"157";"1";"1";"Eliminada-CHUPOS";"";"Eliminado-chupos";"";"";"";
"513";"1";"1";"LOCAL";"LOCAL";"local";"LOCAL";"";"LOCAL";
"514";"1";"1";"SISTÉMICO";"SISTÉMICO";"sistemico";"SISTÉMICO";"";"SISTÉMICO";
"515";"1";"1";"ANEMIA";"ANEMIA";"anemia";"ANEMIA";"";"ANEMIA";
"516";"1";"1";"ANTI PLAQUETARIOS";"ANTI PLAQUETARIOS";"anti-plaquetarios";"ANTI PLAQUETARIOS";"";"ANTI PLAQUETARIOS";
"517";"1";"1";"ANTICOAGULANTES";"ANTICOAGULANTES";"anticoagulantes";"ANTICOAGULANTES";"";"ANTICOAGULANTES";
"518";"1";"1";"NEUROLÓGICOS";"NEUROLÓGICOS";"neurologicos";"NEUROLÓGICOS";"";"NEUROLÓGICOS";
"519";"1";"1";"PARA VÁRICES";"PARA VÁRICES";"para-varices";"PARA VÁRICES";"";"PARA VÁRICES";
"520";"1";"1";"ANTI FLATULENTOS";"ANTI FLATULENTOS";"anti-flatulentos";"ANTI FLATULENTOS";"";"ANTI FLATULENTOS";
"521";"1";"1";"ANTIÁCIDOS Y ULCERAS";"ANTIÁCIDOS Y ULCERAS";"antiacidos-y-ulceras";"ANTIÁCIDOS Y ULCERAS";"";"ANTIÁCIDOS Y ULCERAS";
"506";"1";"1";"ESTEROIDEOS";"ESTEROIDEOS";"esteroideos";"ESTEROIDEOS";"";"ESTEROIDEOS";
"524";"1";"1";"ANTIPARASITARIOS";"ANTIPARASITARIOS";"antiparasitarios";"ANTIPARASITARIOS";"";"ANTIPARASITARIOS";
"525";"1";"1";"ENEMAS Y SUPOSITORIOS";"ENEMAS Y SUPOSITORIOS";"enemas-y-supositorios";"ENEMAS Y SUPOSITORIOS";"";"ENEMAS Y SUPOSITORIOS";
"526";"1";"1";"ESTREÑIMIENTO";"ESTREÑIMIENTO";"estrenimiento";"ESTREÑIMIENTO";"";"ESTREÑIMIENTO";
"527";"1";"1";"FLORA INTESTINAL";"FLORA INTESTINAL";"flora-intestinal";"FLORA INTESTINAL";"";"FLORA INTESTINAL";
"528";"1";"1";"LAXANTES";"LAXANTES";"laxantes";"LAXANTES";"";"LAXANTES";
"505";"1";"1";"VITAMINAS";"
Bienvenido a Vitaminas. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"vitaminas";"VITAMINAS";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,vitaminas,complementos";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"483";"1";"1";"ANTIVIRALES";"
Bienvenido a antivirales,  fármacos usados para el tratamiento de infecciones producidas por virus. Farmalisto tu droguería online, encontrarás medicamentos, productos de farmacia, salud y nutrición. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"antivirales";"ANTIVIRALES - FARMALISTO";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,picazón,gripa";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"486";"1";"1";"DERMATOLÓGICOS";"
Bienvenido a dermatológicos, estos medicamentos cuidan y protegen la piel de las diferentes afecciones causadas por el ambiente, microorganismos o sensibilidad recurrente. Farmalisto tu droguería online, encontrarás medicamentos, productos de farmacia, salud y nutrición. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"dermatologicos";"DERMATOLÓGICOS, CUIDADO DE LA PIEL Y TRATAMIENTOS";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,piel,dermatitis,dermatología,dérmicos";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"489";"1";"1";"HEMOSTÁTICOS";"
Bienvenido a Hemostáticos, agentes físicos o químicos que detienen una hemorragia. Farmalisto tu droguería online, encontrarás medicamentos, productos de farmacia, salud y nutrición. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"hemostaticos";"HEMOSTÁTICOS";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,sangre,hemofilia,glóbulos blancos,glóbulos rojos";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"529";"1";"1";"NAUSEAS Y VÓMITOS";"NAUSEAS Y VÓMITOS";"nauseas-y-vomitos";"NAUSEAS Y VÓMITOS";"";"NAUSEAS Y VÓMITOS";
"523";"1";"1";"ANTIESPASMÓDICO";"ANTIESPASMÓDICO";"antiespasmodico";"ANTIESPASMÓDICO";"";"ANTIESPASMÓDICO";
"522";"1";"1";"ANTIDIARREICOS";"ANTIDIARREICOS";"antidiarreicos";"ANTIDIARREICOS";"";"ANTIDIARREICOS";
"507";"1";"1";"NO ESTEROIDEOS";"NO ESTEROIDEOS";"no-esteroideos";"NO ESTEROIDEOS";"";"NO ESTEROIDEOS";
"530";"1";"1";"PANCREÁTICOS";"PANCREÁTICOS";"pancreaticos";"PANCREÁTICOS";"";"PANCREÁTICOS";
"531";"1";"1";"PARA HEMORROIDES";"PARA HEMORROIDES";"para-hemorroides";"PARA HEMORROIDES";"";"PARA HEMORROIDES";
"532";"1";"1";"SUEROS E HIDRATACIÓN";"SUEROS E HIDRATACIÓN";"sueros-e-hidratacion";"SUEROS E HIDRATACIÓN";"";"SUEROS E HIDRATACIÓN";
"533";"1";"1";"DIABÉTICOS";"DIABÉTICOS";"diabeticos";"DIABÉTICOS";"";"DIABÉTICOS";
"534";"1";"1";"ANSIEDAD Y DEPRESIÓN";"ANSIEDAD Y DEPRESIÓN";"ansiedad-y-depresion";"ANSIEDAD Y DEPRESIÓN";"";"ANSIEDAD Y DEPRESIÓN";
"535";"1";"1";"ANTI PARKINSONIANOS";"ANTI PARKINSONIANOS";"anti-parkinsonianos";"ANTI PARKINSONIANOS";"";"ANTI PARKINSONIANOS";
"536";"1";"1";"ANTICONVULSIVOS";"ANTICONVULSIVOS";"anticonvulsivos";"ANTICONVULSIVOS";"";"ANTICONVULSIVOS";
"537";"1";"1";"ANTIEPILÉPTICOS";"ANTIEPILÉPTICOS";"antiepilepticos";"ANTIEPILÉPTICOS";"";"ANTIEPILÉPTICOS";
"508";"1";"1";"DOLOR ABDOMINAL";"DOLOR ABDOMINAL";"dolor-abdominal";"DOLOR ABDOMINAL";"";"DOLOR ABDOMINAL";
"257";"1";"1";"Eliminada-LECHE ETAPA 1";"";"Eliminado-leche-etapa-1";"";"";"";
"258";"1";"1";"Eliminada-LECHE ETAPA 2";"";"Eliminado-leche-etapa-2";"";"";"";
"538";"1";"1";"ESQUIZOFRÉNICOS";"ESQUIZOFRÉNICOS";"esquizofrenicos";"ESQUIZOFRÉNICOS";"";"ESQUIZOFRÉNICOS";
"539";"1";"1";"NEUROLÓGICOS";"NEUROLÓGICOS";"neurologicos";"NEUROLÓGICOS";"";"NEUROLÓGICOS";
"540";"1";"1";"PARA ALZHEIMER";"PARA ALZHEIMER";"para-alzheimer";"PARA ALZHEIMER";"";"PARA ALZHEIMER";
"541";"1";"1";"FRAGILIDAD ÓSEA Y OSTEOPOROSIS";"FRAGILIDAD ÓSEA Y OSTEOPOROSIS";"fragilidad-osea-y-osteoporosis";"FRAGILIDAD ÓSEA Y OSTEOPOROSIS";"";"FRAGILIDAD ÓSEA Y OSTEOPOROSIS";
"542";"1";"1";"ANTIASMÁTICOS";"ANTIASMÁTICOS";"antiasmaticos";"ANTIASMÁTICOS";"";"ANTIASMÁTICOS";
"543";"1";"1";"BRONQUITIS";"BRONQUITIS";"bronquitis";"BRONQUITIS";"";"BRONQUITIS";
"488";"1";"1";"DOLOR";"
Bienvenido a Dolor, encontrará productos para el dolor abdominal, dolor de cabeza y migraña, dolor general, espasmos y dolores musculares, especiales. Farmalisto tu droguería online, encontrarás medicamentos, productos de farmacia, salud y nutrición. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"dolor";"DOLOR";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,dolor,cabeza,abdominal,migraña,general,espasmos y dolores musculares";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
"487";"1";"1";"DISLIPEMIANTES";"
Bienvenido a Dislipemiantes, las dislipidemias o dislipemias son una serie de diversas condiciones patológicas cuyo único elemento común es una alteración del metabolismo de los lípidos, con su consecuente alteración de las concentraciones de lípidos y lipoproteínas en la sangre. Farmalisto tu droguería online, encontrarás medicamentos, productos de farmacia, salud y nutrición. Compra y haz tus pedidos fácilmente online, servicio a domicilio en Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cúcuta, Ibagué, Pereira, Pasto y demás ciudades de Colombia, garantizamos el mejor precio.
Línea de atención y televentas gratuita Nacional: 01800 913 3830
Bogotá: 220 5249";"dislipemiantes";"DISLIPEMIANTES";"farmacia,online,droguería,bogotá,colombia,a domicilio,barato,droga,medicina,medicamentos,compra online,lípidos,grasas,alteración,lipoproteínas,sangre";"Encuentra gran variedad de marcas y medicamentos baratos en nuestra tienda Online. Entregamos en toda Colombia, garantizamos el mejor precio.";
